MessageType,utcTimeMillis,MeasurementX,MeasurementY,MeasurementZ,BiasX,BiasY,BiasZ
UncalMag,1607638644004,12.276966,5.399579,-133.1853,-31.0773,51.787903,-198.1201
UncalAccel,1607638644004,0.27878705,9.870843,-0.94905543,0.0,0.0,0.0
UncalGyro,1607638644010,0.0009188623,0.00031461054,0.0004327977,0.0,0.0,0.0
UncalMag,1607638644014,10.984791,4.1653013,-132.33156,-31.0773,51.787903,-198.1201
UncalAccel,1607638644014,0.30034274,9.92593,-1.0400685,0.0,0.0,0.0
UncalMag,1607638644024,12.3,5.67854,-132.89998,-31.0773,51.787903,-198.1201
UncalAccel,1607638644024,0.29315752,9.8109665,-0.93708,0.0,0.0,0.0
UncalGyro,1607638644030,-0.0044078776,-0.00048440043,0.0001664604,0.0,0.0,0.0
UncalMag,1607638644034,11.054883,5.803912,-133.66919,-31.0773,51.787903,-198.1201
UncalAccel,1607638644034,0.26441658,9.77504,-0.8652277,0.0,0.0,0.0
UncalMag,1607638644044,8.9744835,5.1435795,-135.14374,-31.0773,51.787903,-198.1201
UncalAccel,1607638644044,0.24286084,9.863658,-1.0640193,0.0,0.0,0.0
UncalGyro,1607638644050,0.0009188632,0.0005809474,0.00069913454,0.0,0.0,0.0
UncalMag,1607638644054,10.467279,6.1517124,-133.23477,-31.0773,51.787903,-198.1201
UncalAccel,1607638644054,0.30034274,9.858868,-0.95145047,0.0,0.0,0.0
UncalMag,1607638644064,9.828214,3.3390014,-133.49113,-31.0773,51.787903,-198.1201
UncalAccel,1607638644064,0.25244117,9.8109665,-0.9107342,0.0,0.0,0.0
UncalGyro,1607638644070,0.0014515374,0.001113622,0.0001664604,0.0,0.0,0.0
UncalMag,1607638644074,10.841949,7.154608,-133.00172,-31.0773,51.787903,-198.1201
UncalAccel,1607638644074,0.2668116,9.906769,-1.0975504,0.0,0.0,0.0
UncalMag,1607638644084,12.317029,5.6873293,-132.13757,-31.0773,51.787903,-198.1201
UncalAccel,1607638644084,0.30992308,9.890003,-1.0472537,0.0,0.0,0.0
UncalGyro,1607638644090,-0.0060059004,0.0008472847,-9.987643e-05,0.0,0.0,0.0
UncalMag,1607638644094,12.027184,4.398523,-134.7923,-31.0773,51.787903,-198.1201
UncalAccel,1607638644094,0.2716018,9.707978,-0.80774575,0.0,0.0,0.0
UncalMag,1607638644104,10.304737,4.0647764,-134.91733,-31.0773,51.787903,-198.1201
UncalAccel,1607638644104,0.24046578,9.830127,-0.8891784,0.0,0.0,0.0
UncalGyro,1607638644110,0.0049139173,0.00031461054,-0.00036621327,0.0,0.0,0.0
UncalMag,1607638644114,12.453434,5.82865,-133.36884,-31.0773,51.787903,-198.1201
UncalAccel,1607638644114,0.26441658,9.933115,-1.1861684,0.0,0.0,0.0
UncalMag,1607638644124,9.512623,5.233475,-131.94643,-31.0773,51.787903,-198.1201
UncalAccel,1607638644124,0.31950343,9.820546,-0.99695706,0.0,0.0,0.0
UncalGyro,1607638644130,-0.004940552,0.00031461054,0.0006991341,0.0,0.0,0.0
UncalMag,1607638644134,11.608429,5.4385347,-135.6284,-31.0773,51.787903,-198.1201
UncalAccel,1607638644134,0.2811821,9.765459,-0.86762273,0.0,0.0,0.0
UncalMag,1607638644144,9.9816475,3.4891117,-133.95999,-31.0773,51.787903,-198.1201
UncalAccel,1607638644144,0.2739969,9.830127,-0.9777963,0.0,0.0,0.0
UncalGyro,1607638644150,0.003049559,4.8273243e-05,0.00069913454,0.0,0.0,0.0
UncalMag,1607638644154,11.745146,4.912335,-134.98082,-31.0773,51.787903,-198.1201
UncalAccel,1607638644154,0.2979477,9.882819,-0.9873768,0.0,0.0,0.0
UncalMag,1607638644164,11.193513,3.0795047,-133.93355,-31.0773,51.787903,-198.1201
UncalAccel,1607638644164,0.2716018,9.825336,-0.99695706,0.0,0.0,0.0
UncalGyro,1607638644170,0.00011985132,-0.00075073726,-0.00036621327,0.0,0.0,0.0
UncalMag,1607638644174,11.240076,4.0382905,-134.45969,-31.0773,51.787903,-198.1201
UncalAccel,1607638644174,0.24525592,9.849287,-0.9993521,0.0,0.0,0.0
UncalMag,1607638644184,11.313887,5.011139,-133.76599,-31.0773,51.787903,-198.1201
UncalAccel,1607638644184,0.29076242,9.858868,-1.059229,0.0,0.0,0.0
UncalGyro,1607638644190,-0.0046742144,0.0005809474,0.00069913454,0.0,0.0,0.0
UncalMag,1607638644194,10.854574,5.362537,-134.55302,-31.0773,51.787903,-198.1201
UncalAccel,1607638644194,0.31231815,9.7343235,-0.8125359,0.0,0.0,0.0
UncalMag,1607638644204,10.612904,4.4992037,-136.16983,-31.0773,51.787903,-198.1201
UncalAccel,1607638644204,0.23088545,9.8109665,-0.8819932,0.0,0.0,0.0
UncalGyro,1607638644210,0.005180255,4.8273243e-05,0.0004327977,0.0,0.0,0.0
UncalMag,1607638644214,10.766647,3.9817936,-134.75984,-31.0773,51.787903,-198.1201
UncalAccel,1607638644214,0.27639195,9.949881,-1.1334766,0.0,0.0,0.0
UncalMag,1607638644224,10.534699,2.7228699,-134.82239,-31.0773,51.787903,-198.1201
UncalAccel,1607638644224,0.32189846,9.880424,-0.97300625,0.0,0.0,0.0
UncalGyro,1607638644230,-0.0030761925,0.001113622,0.00069913454,0.0,0.0,0.0
UncalMag,1607638644234,10.400281,5.1823797,-133.62352,-31.0773,51.787903,-198.1201
