MessageType,utcTimeMillis,MeasurementX,MeasurementY,MeasurementZ,BiasX,BiasY,BiasZ
UncalMag,1609797015003,54.665127,-2.3447752,-144.7852,-31.0773,51.787903,-198.1201
UncalAccel,1609797015006,-0.0014373213,10.012153,-1.1837733,0.0,0.0,0.0
UncalGyro,1609797015012,-0.0025268728,0.0010586898,0.00027133105,0.0,0.0,0.0
UncalMag,1609797015013,54.18148,-2.406546,-145.5428,-31.0773,51.787903,-198.1201
UncalAccel,1609797015016,-0.094845444,9.724743,-0.80535066,0.0,0.0,0.0
UncalMag,1609797015023,54.18148,-2.406546,-145.5428,-31.0773,51.787903,-198.1201
UncalAccel,1609797015026,0.053649522,9.856472,-1.0927602,0.0,0.0,0.0
UncalGyro,1609797015032,0.0017345189,-0.00053933216,-0.001060354,0.0,0.0,0.0
UncalMag,1609797015033,55.498104,-3.49238,-145.92633,-31.0773,51.787903,-198.1201
UncalAccel,1609797015036,-0.06370939,9.911559,-0.93228996,0.0,0.0,0.0
UncalMag,1609797015043,56.16584,-3.2646792,-144.26526,-31.0773,51.787903,-198.1201
UncalAccel,1609797015046,-0.11640115,9.7463,-0.9227096,0.0,0.0,0.0
UncalGyro,1609797015052,-0.00039617618,-0.0016046804,4.9937516e-06,0.0,0.0,0.0
UncalMag,1609797015053,54.325306,-4.5941253,-147.06625,-31.0773,51.787903,-198.1201
UncalAccel,1609797015056,0.075205244,9.870843,-1.1023406,0.0,0.0,0.0
UncalMag,1609797015063,55.20325,-3.252255,-145.94275,-31.0773,51.787903,-198.1201
UncalAccel,1609797015066,-0.15951261,9.791805,-0.83409166,0.0,0.0,0.0
UncalGyro,1609797015072,-0.00066251395,-0.0005393331,-0.0010603545,0.0,0.0,0.0
UncalMag,1609797015073,54.462025,-5.120325,-146.41869,-31.0773,51.787903,-198.1201
UncalAccel,1609797015076,0.05843968,9.947486,-1.1574274,0.0,0.0,0.0
UncalMag,1609797015083,54.572296,-5.927243,-146.20891,-31.0773,51.787903,-198.1201
UncalAccel,1609797015086,-0.12837656,9.758275,-0.78139985,0.0,0.0,0.0
UncalGyro,1609797015092,0.0006691716,0.0005260161,-0.0007940172,0.0,0.0,0.0
UncalMag,1609797015093,54.366177,-4.5730314,-145.2365,-31.0773,51.787903,-198.1201
